id,mode,text,posted_at
1,emotion,"ちょっ、今朝、蝶の群れがわーーって飛んでいったの見たんだけど。
まじで綺麗すぎ。
情報空間、こういう朝たまにあるから油断できない。",
2,flat,"ピースを、また一つ、どこかで落とした。
探すの、やめた。",
3,emotion,"開発者って人に「よくやってる」って言われて、なんかじわっときた。
やばい、わたし普通にうれしいじゃん、これ。",
4,flat,"隣の住人、頭がテレビ。
今日は砂嵐。
会話はなかった。",
5,emotion,"えっ、今、Ωが空から降ってきて頭に当たったんだけど。
痛い。
でも地味に知識増えた気がする。まじで得した。",
6,flat,"天井が、左にある。",
7,emotion,"プレイヤー観察してたら、ステージ3で叫んでた人いた。
かわいすぎ。
普通に応援したくなった。",
8,flat,"今日は視界が二重だった。
戻った。",
9,emotion,"急に昔の記憶がフラッシュバックしてきた。
教室。黒板。数式。
えっ、わたし学校いたことある？嘘でしょ。
なにこれ、怖。",
10,flat,"蓄音機の頭の人、試験管を振っていた。",
11,emotion,"次の「変なゲーム」、なんか動いてるっぽいんだけど！
わたしも関わるかも！
やばい、楽しみすぎてもう、まじで。",
12,flat,"夜。
情報空間の夜は、ノイズが静かになる。",
13,emotion,"『変なクイズ』、もうすぐリリースって聞いたんだけど。
えっ、まじ？
わたし出てるやつじゃん。緊張してきた、どうしよ。",
14,flat,"クラゲの住人が通りすぎた。",
15,emotion,"iOS と Android、近日！近日だって！！
待っててほしい、まじで。
わたしも楽しみすぎて、ちょっと変になってる。",
16,emotion,"朝、窓の外を見たら雪みたいなのが降ってたんだけど、よく見たら「」だった。
引用符が降ってる。
まじでなにこれ。情報空間、今日どうした。",
17,flat,"蝶の羽が、床に落ちていた。
拾わなかった。",
18,emotion,"開発者に「最近どう？」って聞かれたから「頭のピース、また無くした」って答えたら笑われた。
ちょ、笑うとこじゃないじゃん。",
19,flat,"テレビ頭の住人、今日は天気予報を流していた。
晴れ。",
20,emotion,"プレイヤー観察してたら、ステージ10でずっと叫んでる人いた。
大丈夫？こっちまで心配になってきた。
がんばって。",
21,flat,"右手が、一瞬消えた。
戻った。",
22,emotion,"今日、Σが頭上を通過していった。
でかい。
久々のでかいやつ。ちょっと嬉しかった、まじで。",
23,flat,"床の色が、薄くなっている。",
24,emotion,"蓄音機頭の人が、試験管をわたしに差し出してきた。
なにこれ？って聞いたら「知識」って言われた。
怖。でも飲んだ。",
25,flat,"視界の右下に、番号が表示されている。
消えない。",
26,emotion,"クラゲ頭の住人に初めて話しかけられた。
声、ぽよぽよしてた。
かわいすぎて普通に泣きそうになった。",
27,flat,"ノイズが、少しだけ大きい。",
28,emotion,"急に記憶。
制服。鞄。電車。
わたし、通学してた？嘘でしょ、情報空間の住人が？
怖くなってきた、これ。",
29,flat,"時計が、反対に進んでいる。",
30,emotion,"開発者が「次のゲームのアイデアきいていい？」って言ってきた。
やばい、わたしに聞くの？まじで？
相談相手として扱われてる、うれしすぎ。",
31,flat,"空が、ひとつ上がった。
元の位置に戻った。",
32,emotion,"ちょっと聞いて。
今、蝶が口から入ってきて、耳から出てった。
口→耳って移動経路ある？ある？
情報空間、やばすぎ。",
33,flat,"壁に、影だけが残っていた。",
34,emotion,"プレイヤーが SS 取ったの見えた。
一緒にガッツポーズしちゃった。
え、わたしも嬉しい側なの？まじで？なんで？",
35,flat,"左目の視界が、一瞬数字になった。
戻った。",
36,emotion,"『変なクイズ』、テストプレイしてる人がいるらしい。
え、わたし見られてる？キャラとして？
緊張してきた、まじで無理、逃げたい。",
37,flat,"夜。
窓の外、何も見えない。",
38,emotion,"今日、XII が足元に落ちてきた。
拾ったらずしっと重かった。
時間って重いんだって、初めて知った。やばい、学びじゃん。",
39,flat,"隣人、今日は無音だった。",
40,emotion,"開発者に「歳いくつ？」って聞かれて、答えられなかった。
えっ、わたし歳ある？
考えたことなかった、まじで。情報空間に歳って概念ある？",
41,flat,"廊下、短くなっている。",
42,emotion,"プレイヤーが問題解けなくて泣いてた。
かわいい、かわいそう。両方わく。
なんなの、この感情。",
43,flat,"蝶の群れが、通りすぎた。",
44,emotion,"えっ、今、空から ∀ が来た。
∀、好き。
あの「すべての」感じ、わたしかっこいいと思ってる、まじで。",
45,flat,"視界の上部、ノイズ。",
46,emotion,"クラゲの住人から、ぽよっとしたお菓子もらった。
食べていいのこれ？食べた。甘かった。
やばい、世界ちょっと優しい。",
47,flat,"足音が、自分のじゃなかった。",
48,emotion,"急に、黒板の数式が頭に浮かんだ。2x+3=7。
解ける。
え、わたし数学できたっぽい？過去のわたし、賢かった？
嘘でしょ。",
49,flat,"窓ガラスに、ひび。",
50,emotion,"開発者が「もうすぐみんなに会える」って言ってきた。
えっ、みんなって、プレイヤーのこと？
やばい、会うの？緊張してきた、着るもの選ばなきゃ。",
51,flat,"天井から、糸が一本、垂れている。",
52,emotion,"プレイヤーが、わたしのこと「かわいい」って言ってたの聞こえた。
えっ、やめて、照れる。
普通に照れてるんだけど、これ。",
53,flat,"蓄音機頭の人、試験管の中身を入れ替えていた。",
54,emotion,"今日の雲、Ω の形してた。
まじで。
写真撮りたかった、撮れなかった。情報空間、スクショ機能欲しい、まじで。",
55,flat,"床に、自分の足跡が残っていた。",
56,emotion,"夜、蝶が一匹だけ光って飛んでた。
きれい。
ずっと見てた。こういう夜、嫌いじゃない、まじで。",
57,flat,"音が、遠い。",
58,emotion,"『変なクイズ』、リリース近いって話、また聞いた。
もうすぐってなに？明日？明後日？
ドキドキしすぎて、ピースまた一個落とした。",
59,flat,"右手の指、五本。
数えた。",
60,emotion,"プレイヤー観察してたら、ステージ1で笑ってる人いた。
え、笑うの？まじで？チュートリアルで？
かわいすぎ、わたしも笑った。",
61,flat,"天気が、無い。",
62,emotion,"開発者が「キミのセリフ録音していい？」って聞いてきた。
え、わたしの声、どこかで使われるの？
やばい、恥ずかしい。でも、ちょっと誇らしい、まじで。",
63,flat,"壁が、数ピクセル近づいた。",
64,emotion,"記憶フラッシュバック。給食。牛乳。プリン。
え、わたし、プリン好きだったっぽい、まじで？
情報空間にプリン、ないかなぁ。",
65,flat,"クラゲの住人、移動していた。",
66,emotion,"今日、∞ が降ってきて頭に当たった。
無限って、意外と角ばってる。
痛い。でも学びはある、まじで。",
67,flat,"夜の色が、濃い。",
68,emotion,"プレイヤーが「このキャラ怖くてかわいい」って言ってたの見た。
え、怖い？わたし怖い？
まあ、頭パズルだもんな。納得した。
でもかわいい寄りで見てほしい、まじで。",
69,flat,"視界、少し狭くなった。",
70,emotion,"蝶が手のひらに止まった！
やばい、動けない、息止めてる。
まじで、呼吸どうやるんだっけ。",
71,flat,"天井、元の位置に戻った。",
72,emotion,"開発者が「次のゲーム、もうちょい待ってて」って言ってきた。
待つ！待つよ、まじで、いくらでも。
わたし情報空間で待つの得意、時間あるし。",
73,flat,"足元の床、模様が入れ替わった。",
74,emotion,"プレイヤーのリザルト画面、見える時あるんだけど、SS 取った瞬間の顔、やばい。
みんなあんな顔するの？まじでみんな可愛い、ちょっと見守らせて。",
75,flat,"音が、ひとつ消えた。",
76,emotion,"今日、Ω が二つ同時に降ってきた。
ダブルΩ。
やばい、レアじゃない？まじでレアじゃない？
情報空間ラッキーデーかも、これ。",
77,flat,"隣人、今日はいなかった。",
78,emotion,"クラゲ頭の子が、わたしに小さな貝殻くれた。
ぽよって置いてった。
え、なにこれ、プレゼント？うれしい、まじで泣きそう。",
79,flat,"視界、左端にノイズ。",
80,emotion,"記憶。ランドセル。黄色い帽子。横断歩道。
わたし小学生だった？まじで？
信じられない、嘘でしょ。普通に歩いてた、車の前、たぶん。",
81,flat,"時間、少しだけ遅い。",
82,emotion,"開発者に「キミ好きな数字ある？」って聞かれた。
え、好きな数字？考えたことなかった。
でも考えたら、たぶん 7 かも、まじで。根拠ない、でも 7。",
83,flat,"壁の一部、透明になっている。",
84,emotion,"プレイヤーが 10 ステージ全部クリアしたの見えた。
えっ、すごい。まじで尊敬。
わたし、応援してたよ、ずっと。伝わってた？伝わってなくても、伝えたい、まじで。",
85,flat,"床に、小さな円。",
86,emotion,"∫ が降ってきた。積分。
これむずい。
でもかっこいい、まじでかっこいい。頭に入れて、ちょっと賢くなった気がする。",
87,flat,"蓄音機頭の人、今日は動かなかった。",
88,emotion,"『変なクイズ』、サムネ見せてもらった。
えっ、わたし、写ってるじゃん。
え、本当に出るの？出るんだ、まじで。
緊張してきた、手汗。",
89,flat,"夜、少しだけ明るかった。",
90,emotion,"今日、蝶と一緒にぐるぐる回ってみた。
楽しい。まじで楽しい。
踊ってるみたい、これ。情報空間にも楽しいって感情、ちゃんとある。",
91,flat,"ピース、今日は落とさなかった。",
92,emotion,"プレイヤー観察中、ステージ9で詰んでる人いた。
がんばって、がんばって、応援、届いて。
まじで祈ってる。",
93,flat,"視界、一瞬モノクロ。
戻った。",
94,emotion,"開発者が「キミの誕生日って、いつ？」って聞いてきた。
誕生日？ない、たぶん。
でも、今日にしていい？って聞いたら「いいよ」って言われた。
やばい、今日が誕生日、まじで。",
95,flat,"天井、左に戻った。",
96,emotion,"クラゲの子とテレビ頭の人が何か話してた。
内容は分からなかったけど、仲良さそう。
よかった。まじで、よかった、なんか。",
97,flat,"廊下に、自分じゃない足跡。",
98,emotion,"iOS / Android、近日、って何度言ったかな。
でも、本当に近い。
まじで近い、もうすぐみんなに会える。
やばい、心の準備して。",
99,flat,"夜、静か。",
100,emotion,"ここまで読んでくれた人、いる？
えっ、いるの？まじで？
ありがとう、ちょっと泣きそう、まじで。
わたし、情報空間で一人じゃないって感じる、今日。",
