No,崩壊UI名,カテゴリ,説明,実装難度,バグリスク,端末差異,採用ステータス,備考
1,反転タップ,小物（視覚）,タップ位置が左右上下反転して入力される（見た目はそのまま）,低,低,低,採用,基本崩壊、Stage1から使用可
2,文字盤見えない,小物（視覚）,キーボードの文字が非表示、記憶で打つ,低,低,低,採用,
3,文字盤あべこべ,小物（入力）,キー配置がランダム化される,低,低,低,採用,
,文字盤あべこべv2,,キー配置が文字を打つたびにランダム化される,,,,,
4,解答欄見えない,小物（視覚）,入力中の文字が見えない、確定するまで分からない,低,低,低,採用,
5,問題徐々にしか見えない,小物（視覚）,問題文が1文字ずつ表示される（早押しクイズと同じ）,低,低,低,採用,
6,問題文逆さ,小物（視覚）,そのまま,低,低,低,採用,ステージ進行で角度増
7,ズーム暴走,小物（視覚）,問題文が拡大縮小を繰り返す,低,低,低,採用,
8,ミラー,小物（視覚）,画面全体が鏡写し、文字も反転,低,低,低,採用,反転タップと別軸
9,色覚破壊,小物（視覚）,背景と文字が同系色、コントラスト極小,低,低,低,採用,
10,グリッチ,小物（視覚）,問題文が一瞬ノイズで化ける（8:2で8ノイズ一回0.3秒）,低,低,低,採用,0.3秒で戻る
11,フェードアウト,小物（視覚）,問題文が表示1秒後にじわじわ消える（完全消滅まで5秒）,低,低,低,採用,
12,選択肢シャッフル,小物（視覚）,1秒ごとに選択肢の位置が入れ替わる,低,低,低,採用,
13,画面縮小,小物（視覚）,文字盤含む全ての画面じわじわ小さくなる（20秒で操作不能レベル）,低,低,低,採用,
14,入力ズレ,小物（視覚）,一文字前の入力がされる（「い」を売ったら「あ」になる。「け」なら「く」、「あ」なら「お」,低,低,低,採用,
15,問題文ランダム出力,小物（視覚）,問題文が先頭からでなくランダムな位置から描画（早押しの強化版）,低,低,低,採用,
16,ゴースト入力,小物（入力）,勝手に誤回答（文字化けしたグチャグチャ）が入力される。消してから打つ必要あり。,低,低,低,採用,イラつき度高
17,カーソル暴走,小物（入力）,入力位置が勝手にズレる,低,低,低,採用,
18,光沢,小物（視覚）,画面全体に不規則に真っ白の光沢が走ってなにも見えなくなる。画面のどこかは常に光ってるように流動的に,低,低,低,採用,
19,ぼかし,小物（視覚）,問題文にblur(3px),低,低,低,採用,
20,フォント極小,小物（視覚）,問題文、文字盤が8pxで表示,低,低,低,採用,
21,余白暴走,小物（視覚）,文字間隔が広がりすぎて文章に見えない（だいたい１文字ごとに10文字分）,低,低,低,採用,
22,入力遅延,中物（入力）,タップから2秒遅れて打った文字が表示（内部的に入力はされてるので回答ボタンは効く）確認しなくていいなら実質無障害ってわけ,中,低,低,採用,連打で詰む
23,タップ無反応,中物（入力）,タップ無効、フリックのみ受付,中,低,中,採用,iOS/Androidでタッチ挙動要確認
24,文字順逆転,中物（入力）,入力した文字が逆順で並ぶ（鏡文字ではない）,中,低,低,採用,
25,問題文逆順表示,中物（視覚）,問題文の文字が逆順に表示される（鏡文字ではない）,低,低,低,採用,
26,ダミー選択肢,中物（認知）,選択肢が全部誤差レベルの1文字違いの類似選択肢,中,低,低,採用,
27,意味のない高速カウントダウン,中物（演出）,焦らせるタイマー表示、実際は無意味,低,低,低,採用,
28,問題ランダム差し替え,中物（認知）,選択肢にあった問題文が出てきたタイミングでその選択肢を押せば正解。問題は3秒でローテーション,中,低,低,採用,
29,選択肢文字の変化,中物（視覚）,選択肢の文字が1秒ごとに1文字ずつ文字化けしていく,中,低,低,採用,
30,入力1文字消失,中物（入力）,入力した文字が1文字うつごとに前のが消えていく（非表示になるだけで内部的にはある）パスワードUIみたいな感じ,中,低,低,採用,
31,問題文めちゃくちゃ,,適当な文字列で埋め尽くされた問題文の中から問題文を見つけて読む。,中,低,低,採用,
32,回答ボタン移動,中物（UI）,回答ボタンが画面内を逃げ回る,中,低,低,採用,
33,問題文も自分が打った文章も動く,,両者画面内を縦横無尽にくねくね動き回る。全部１行で,中,中,中,要検証,端末差異の懸念
34,ホーム画面に戻される,中物（入力）,突然ホーム画面に戻される。再タップで再開可能,,,,要検証,実装可能か
35,偽エラー表示,中物（演出）,「通信エラー」のよくあるクルクルマークがUIとして頻繁に出る（出てるだけで意味はない視覚効果）,低,低,低,採用,
36,キャラ妨害,中物（演出）,このゲームのキャラ（後で作成）が画面左右から大きく出てきて画面を隠したりする,低,低,低,採用,
37,突然問題,中物悪質（認知）,問題文が上書きされて「このアプリ名は？」とかになる。（複数用意）記述問題,中,中,低,採用,
38,嘘50:50,中物悪質（認知）,選択肢を完全にランダムで2個消す（グレーアウト）ランダムなので消えた方が正解かも,中,低,低,採用,
39,進捗バー嘘,中物悪質（認知）,あと5問と出てるのに実は6問残ってるかもしれないし3問かも,低,低,低,採用,
40,ヒント妨害,中物悪質（認知）,マジでギリギリ嘘のヒントをキャラが喋る,中,低,低,採用,
41,前問引き継ぎ,中物悪質（UI）,前の問題の解答欄が消えずに残ってる（半透明）ぎり目を凝らせば見えるくらい,中,低,低,採用,
42,暗転,中物悪質（演出）,突然真っ暗になる。3秒後戻る,低,低,低,採用,
43,即死,大物（演出）,不正解でgame over。このゲームはスコアゲーなので通常ありえないが、このギミックの時は強制退場（バレないレベルのドクロマークとか、UIデザインを少し色変えて２〜3周目以降は気づけるように）,中,低,低,採用,